id	species	size	synonyms	symbols	descriptions
1390001	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08620	yfhP	membrane hydrolase
1390002	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08630	yfhQ	A/G-specific adenine glycosylase or DNA-(apurinic or apyrimidinic site) lyase
1390003	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08640	yfhS	hypothetical protein
1390004	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08650	fabL	enoyl-(acyl carrier protein) reductase
1390005	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08660	sspE	small acid-soluble spore protein
1390006	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08670	ygaB	hypothetical protein
1390007	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08690	ygaD	ABC transporter ATP-binding protein
1390008	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08700	ygaE	hypothetical protein
1390009	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08730	perR	Fur family transcriptional regulator
1390010	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08750	ygxA	hypothetical protein
1390011	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08810	senS	transcriptional regulator
1390012	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08870	ygaN	sulfur oxidoreductase
1390013	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08880	rpsN	30S ribosomal protein S14
1390014	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08900	yhzB	hypothetical protein
1390015	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08920	yhbB	hypothetical protein
1390016	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08970	prkA	serine protein kinase
1390017	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU08980	yhbH	hypothetical protein
1390018	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09100	cspB	major cold-shock protein
1390019	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09120	yhcK	diguanylate cyclase or phosphodiesterase
1390020	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09130	tcyP	sodium-cystine symporter
1390021	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09140	yhcM	hypothetical protein
1390022	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09180	yhcQ	hypothetical protein
1390023	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09230	yhcV	oxidoreductase
1390024	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09350	yhdB	hypothetical protein
1390025	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09360	yhdC	hypothetical protein
1390026	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09380	nsrR	NO-dependent activator of the ResDE regulon
1390027	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09390	ygxB	integral inner membrane protein
1390028	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09400	spoVR	spore cortex synthesis protein
1390029	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09460	ctrA	branched-chain amino acid transporter
1390030	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09470	yhdH	sodium-dependent transporter
1390031	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09480	yhdI	PLP-dependent transcriptional regulator
1390032	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09490	yhdJ	acetyltransferase
1390033	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09530	yhdN	aldo/keto reductase specific for NADPH
1390034	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09540	plsC	1-acylglycerol-3-phosphate O-acyltransferase
1390035	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09570	yhdR	aspartate aminotransferase
1390036	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09590	yhdT	hypothetical protein
1390037	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09630	yhdX	hypothetical protein
1390038	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09640	yhdY	integral inner membrane protein
1390039	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09650	yhdZ	NAD-dependent deacetylase
1390040	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09660	yheN	polysaccharide deacetylase
1390041	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09670	dat	D-alanine aminotransferase
1390042	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09680	nhaC	Na+/H+ antiporter
1390043	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09700	yheJ	hypothetical protein
1390044	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09730	yheG	NADH-flavin oxidoreductase
1390045	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09740	yheF	hypothetical protein
1390046	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09750	sspB	small acid-soluble spore protein
1390047	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09760	yheE	hypothetical protein
1390048	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09790	yheB	hypothetical protein
1390049	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09800	yheA	hypothetical protein
1390050	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09810	yhaZ	hypothetical protein
1390051	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09870	khtS	K+/H+ antiporter for K+ efflux
1390052	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09940	yhaL	sporulation factor
1390053	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09950	prsA	molecular chaperone lipoprotein
1390054	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09980	yhaI	hypothetical protein
1390055	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU09990	hpr	transcriptional regulator Hpr
1390056	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10000	yhaH	hypothetical protein
1390057	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10020	serC	phosphoserine aminotransferase
1390058	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10030	hinT	Hit-family hydrolase
1390059	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10080	yhfA	transporter
1390060	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10150	yhgD	transcriptional regulator
1390061	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10160	yhgE	methyl-accepting protein
1390062	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10170	fabHB	3-oxoacyl-ACP synthase
1390063	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10180	yhfC	integral inner membrane protein
1390064	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10220	gltT	proton/sodium-glutamate symport protein
1390065	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10230	yhfH	hypothetical protein
1390066	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10260	yhfK	epimerase
1390067	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10280	yhfM	hypothetical protein
1390068	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10290	yhfN	membrane metalloprotease
1390069	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10310	yhfO	N-acetyltransferase
1390070	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10320	yhfP	oxidoreductase
1390071	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10340	phoE	phosphatase
1390072	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10380	hemAT	haem-based dioxygen sensor
1390073	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10390	yhfW	Rieske [2Fe-2S] oxygenase
1390074	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10400	yhxC	oxidoreductase
1390075	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10410	yhzC	hypothetical protein
1390076	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10420	comK	competence transcription factor (CTF)
1390077	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10430	yhxD	oxidoreductase
1390078	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10440	yhjA	hypothetical protein
1390079	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10470	yhjD	hypothetical protein
1390080	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10520	glcP	glucose/mannose:H+ symporter
1390081	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10560	yhjM	transcriptional regulator of the ntd operon; (LacI family)
1390082	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10570	yhjN	integral inner membrane protein
1390083	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10580	yhjO	hypothetical protein
1390084	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10590	yhjP	hypothetical protein
1390085	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10600	yhjQ	ferredoxin
1390086	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10610	yhjR	electron carrier protein
1390087	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10730	yisI	Spo0A-P phosphatase
1390088	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10740	yisJ	spore coat protein
1390089	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10750	yisK	catabolic enzyme
1390090	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10760	yisL	hypothetical protein
1390091	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10770	wprA	cell wall-associated protease
1390092	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10780	yisN	hypothetical protein
1390093	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10810	yisP	squalene/phytoene synthase
1390094	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10820	yisQ	Na+driven efflux transporter
1390095	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10850	yisS	dehydrogenase
1390096	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10890	yisX	hypothetical protein
1390097	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10900	yisY	hydrolase
1390098	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU10960	yitE	integral inner membrane protein
1390099	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11010	yitJ	bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase protein
1390100	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11020	yitK	nucleotide-binding protein
1390101	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11030	yitL	RNA-binding protein
1390102	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11090	yitR	hypothetical protein
1390103	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11100	nprB	extracellular neutral protease B
1390104	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11110	yitS	hypothetical protein
1390105	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11120	yitT	integral inner membrane protein
1390106	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11130	ipi	intracellular proteinase inhibitor BsuPI
1390107	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11140	yitU	phosphatase
1390108	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11260	yjzC	hypothetical protein
1390109	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11270	yjzD	hypothetical protein
1390110	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11280	yjaU	hypothetical protein
1390111	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11320	yjzB	hypothetical protein
1390112	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11350	yjaZ	hypothetical protein
1390113	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11410	yjbA	nucleic acid binding protein
1390114	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11420	trpS	tryptophanyl-tRNA synthetase
1390115	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11500	spxA	transcriptional regulator Spx
1390116	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11510	yjbE	transporter component
1390117	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11520	mecA	adaptor protein
1390118	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11570	yjbJ	murein lytic transglycosylase
1390119	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11580	yjbK	RNA/thiamine triphosphatase
1390120	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11620	yjbO	pseudouridylate synthase
1390121	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11630	yjbP	bis(5'-nucleosyl)-tetraphosphatase PrpE
1390122	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11640	yjbQ	Na+/H+ antiporter
1390123	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11730	cotO	spore outer coat protein
1390124	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11740	cotZ	spore coat protein
1390125	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11750	cotY	outer spore coat protein
1390126	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11760	cotX	spore coat protein
1390127	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11790	yjcA	sporulation-specific protein
1390128	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11890	yjcK	ribosomal-protein-alanine N-acetyltransferase
1390129	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11900	yjcL	integral inner membrane protein
1390130	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11910	yjcM	hypothetical protein
1390131	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11920	yjcN	hypothetical protein
1390132	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11960	yjcR	phage-related nucleic acid binding terminase small subunit
1390133	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11970	yjcS	hypothetical protein
1390134	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11980	yjdA	3-ketoacyl-ACP reductase
1390135	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU11990	yjdB	hypothetical protein
1390136	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12030	yjdF	hypothetical protein
1390137	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12040	yjdG	acetyltransferase
1390138	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12060	yjdI	hypothetical protein
1390139	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12070	yjdJ	hypothetical protein
1390140	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12090	cotT	spore coat protein
1390141	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12100	yjeA	secreted deoxyriboendonuclease
1390142	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12110	yjfA	hypothetical protein
1390143	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12120	yjfB	hypothetical protein
1390144	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12140	yjgA	hypothetical protein
1390145	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12150	yjgB	hypothetical protein
1390146	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12180	yjhA	lipoprotein
1390147	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12200	yjiA	hypothetical protein
1390148	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12230	hemD	uroporphyrinogen-III synthase
1390149	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12260	yjlA	permease
1390150	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12270	yjlB	hypothetical protein
1390151	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12400	yjnA	integral inner membrane protein
1390152	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12410	yjoA	hypothetical protein
1390153	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12420	yjoB	ATPase possibly involved in protein degradation
1390154	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12460	xlyB	N-acetylmuramoyl-L-alanine amidase
1390155	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12470	yjqA	hypothetical protein
1390156	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12480	yjqB	PBSX phage-related replication protein
1390157	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12510	xre	Phage PBSX transcriptional regulator
1390158	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12560	xpf	positive control sigma-like factor
1390159	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12860	ykbA	amino acid permease
1390160	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12870	mhqA	hydroquinone-specific extradiol dioxygenase
1390161	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU12910	proG	pyrroline-5-carboxylate reductase
1390162	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13010	ykgB	6-phosphogluconolactonase
1390163	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13040	hmp	nitric oxide dioxygenase
1390164	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13050	ykzH	hypothetical protein
1390165	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13060	ykjA	hypothetical protein
1390166	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13140	ohrA	peroxiredoxin
1390167	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13150	ohrR	transcriptional regulator sensing organic peroxides
1390168	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13170	guaD	guanine deaminase
1390169	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13190	ispA	intracellular serine protease
1390170	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13200	rsbRB	piezosome protein
1390171	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13280	ykoJ	hypothetical protein
1390172	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13290	ykzD	hypothetical protein
1390173	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13300	mgtE	magnesium transporter
1390174	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13310	tnrA	nitrogen sensing transcriptional regulator
1390175	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13320	ykzB	hypothetical protein
1390176	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13330	ykoL	hypothetical protein
1390177	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13340	ykoM	MarR family transcriptional regulator
1390178	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13370	ykoQ	metallophosphoesterase
1390179	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13430	ykoX	integral inner membrane protein
1390180	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13440	ykoY	transporter
1390181	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13470	sspD	small acid-soluble spore protein
1390182	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13480	ykrK	hypothetical protein
1390183	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13490	ykrL	heat shock protein HtpX
1390184	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13500	ktrD	K+-transporting ATPase
1390185	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13520	ykrP	integral inner membrane protein
1390186	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13570	mtnU	hydrolase
1390187	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13580	ykrV	transaminase
1390188	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13630	ykvA	hypothetical protein
1390189	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13640	spo0E	negative regulatory phosphatase acting on Spo0A-P
1390190	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13650	eag	small membrane protein
1390191	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13660	kinD	histidine kinase phosphorylating Spo0A
1390192	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13670	mhqR	MarR family transcriptional regulator
1390193	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13700	clpE	ATP-dependent Clp protease (class III stress gene)
1390194	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13710	ykvI	transporter
1390195	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13760	ykvN	transcriptional regulator
1390196	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13770	ykvO	oxidoreductase
1390197	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13800	ykvR	hypothetical protein
1390198	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13820	ykvT	cell wall hydrolase
1390199	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13850	zosA	Zn transporter
1390200	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13860	ykvY	Xaa-Pro dipeptidase
1390201	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13890	ptsG	phosphotransferase system (PTS) glucose-specific enzyme IICBA component
1390202	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13920	splA	TRAP-like transcriptional regulator
1390203	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13930	splB	spore photoproduct (thymine dimer) lyase
1390204	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13960	ykwC	beta-hydroxyacid dehydrogenase
1390205	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13980	pbpH	penicillin-binding enzyme for formation of rod-shaped peptidoglycan cell wall
1390206	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU13990	kinA	sporulation-specific ATP-dependent protein histidine kinase
1390207	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14010	cheV	coupling protein and response regulator for CheA activity in response to attractants (chemotaxis)
1390208	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14020	ykyB	hypothetical protein
1390209	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14060	ykuF	short chain dehydrogenase
1390210	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14080	ykuH	hypothetical protein
1390211	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14090	ykuI	hypothetical protein
1390212	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14100	ykuJ	hypothetical protein
1390213	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14110	ykuK	RNAse
1390214	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14120	ykzF	hypothetical protein
1390215	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14130	ykuL	hypothetical protein
1390216	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14140	ccpC	transcriptional repressor of citB and citZ
1390217	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14200	ykuS	hypothetical protein
1390218	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14240	rok	repressor of comK
1390219	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14250	yknT	hypothetical protein
1390220	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14410	sipT	type I signal peptidase
1390221	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14420	ykoA	hypothetical protein
1390222	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14430	ykpA	ABC efflux transporter ATP-binding protein
1390223	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14440	ykpB	2-dehydropantoate 2-reductase
1390224	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14450	ampS	aminopeptidase
1390225	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14460	ykpC	hypothetical protein
1390226	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14470	mreBH	rod-share determining protein MreBH
1390227	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14480	abh	transcriptional regulator
1390228	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14510	ktrC	potassium uptake protein
1390229	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14550	ykrA	hydrolase
1390230	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14620	slp	small peptidoglycan-associated lipoprotein
1390231	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14630	speA	arginine decarboxylase
1390232	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14640	yktA	hypothetical protein
1390233	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14650	yktB	hypothetical protein
1390234	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14660	ykzI	hypothetical protein
1390235	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14690	yktD	hypothetical protein
1390236	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14700	nprE	extracellular neutral metalloprotease
1390237	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14750	ylaE	hypothetical protein
1390238	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14760	ylaF	hypothetical protein
1390239	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14790	ylaI	hypothetical protein
1390240	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14800	ylaJ	lipoprotein
1390241	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14810	ylaK	phosphate starvation inducible protein
1390242	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14820	ylaL	hypothetical protein
1390243	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14830	ylaM	glutaminase
1390244	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14840	ylaN	hypothetical protein
1390245	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14870	ctaA	heme-A synthase
1390246	Bacillus subtilis subsp. subtilis str. 168 :NC_000964	1	BSU14880	ctaB	protoheme IX farnesyltransferase
